name,optim,size,time,bandwidth
naive,1,9,0.000778,2695568123.393316
naive,1,9,0.000781,2685213828.425096
naive,1,9,0.000776,2702515463.917526
naive,1,9,0.000847,2475976387.249115
naive,1,9,0.000783,2678355044.699872
naive,1,9,0.000774,2709498708.010336
naive,1,9,0.000869,2413293440.736479
naive,1,9,0.000777,2699037323.037323
naive,1,9,0.000821,2554387332.521316
naive,1,9,0.000778,2695568123.393316
naive,1,9,0.000778,2695568123.393316
naive,1,9,0.000802,2614902743.142145
naive,1,9,0.000794,2641249370.277078
naive,1,9,0.000780,2688656410.256410
naive,1,9,0.000782,2681780051.150895
naive,1,9,0.000779,2692107830.551990
naive,1,9,0.000804,2608398009.950249
naive,1,9,0.000780,2688656410.256410
naive,1,9,0.001086,1931079189.686925
naive,1,9,0.001087,1929302667.893284
naive,1,9,0.001082,1938218114.602588
naive,1,9,0.001085,1932858986.175115
naive,1,9,0.001083,1936428439.519852
naive,1,9,0.001085,1932858986.175115
naive,1,9,0.001081,1940011100.832563
naive,1,9,0.001083,1936428439.519852
naive,1,9,0.001078,1945410018.552876
naive,1,9,0.001089,1925759412.304867
naive,1,9,0.001078,1945410018.552876
naive,1,9,0.001086,1931079189.686925
naive,1,9,0.001115,1880853811.659193
naive,1,9,0.001091,1922229147.571036
naive,1,9,0.001096,1913459854.014599
naive,1,9,0.001092,1920468864.468864
naive,1,9,0.001080,1941807407.407407
naive,1,9,0.001089,1925759412.304867
naive,1,9,0.001081,1940011100.832563
naive,1,9,0.001089,1925759412.304867
naive,1,9,0.001091,1922229147.571036
naive,1,9,0.001091,1922229147.571036
naive,1,9,0.001074,1952655493.482309
naive,1,10,0.005878,1427119428.376999
naive,1,10,0.005260,1594792395.437262
naive,1,10,0.005619,1492900516.106069
naive,1,10,0.005250,1597830095.238095
naive,1,10,0.005351,1567671089.515978
naive,1,10,0.005160,1625699224.806202
naive,1,10,0.005250,1597830095.238095
naive,1,10,0.005154,1627591773.379899
naive,1,10,0.005268,1592370539.104024
naive,1,10,0.005234,1602714558.654948
naive,1,10,0.005211,1609788524.275571
naive,1,10,0.005228,1604553940.321347
naive,1,10,0.005277,1589654728.065189
naive,1,10,0.005261,1594489260.596845
naive,1,10,0.005234,1602714558.654948
naive,1,10,0.005258,1595399011.030810
naive,1,10,0.005290,1585748204.158790
naive,1,10,0.005258,1595399011.030810
naive,1,10,0.005235,1602408404.966571
naive,1,10,0.005251,1597525804.608646
naive,1,10,0.005641,1487078177.628080
naive,1,10,0.005133,1634250535.749074
naive,1,10,0.005475,1532165844.748858
naive,1,10,0.005446,1540324641.939038
naive,1,10,0.005319,1577102462.868960
naive,1,10,0.005158,1626329585.110508
naive,1,10,0.005275,1590257440.758294
naive,1,10,0.005164,1624439969.016266
naive,1,10,0.005322,1576213453.588876
naive,1,10,0.005606,1496362468.783446
naive,1,10,0.005285,1587248438.978240
naive,1,10,0.005486,1529093693.036821
naive,1,10,0.005297,1583652633.566170
naive,1,10,0.005476,1531886048.210372
naive,1,10,0.005464,1535250366.032211
naive,1,10,0.005439,1542307041.735613
naive,1,10,0.005482,1530209412.623130
naive,1,10,0.005411,1550287931.990390
naive,1,10,0.005461,1536093755.722395
naive,1,10,0.005472,1533005847.953216
naive,1,10,0.005616,1493698005.698006
naive,1,10,0.005370,1562124394.785847
naive,1,10,0.005452,1538629493.763756
naive,1,10,0.005404,1552296076.980015
naive,1,10,0.005651,1484446646.611219
naive,1,10,0.005392,1555750741.839763
naive,1,10,0.005386,1557483847.010769
naive,1,10,0.005171,1622240959.195513
naive,1,10,0.005508,1522986201.888163
naive,1,10,0.005173,1621613763.773439
naive,1,11,0.021138,1587398618.601571
naive,1,11,0.022280,1506033752.244165
naive,1,11,0.021302,1575177542.014834
naive,1,11,0.022091,1518918654.655742
naive,1,11,0.020713,1619969680.876744
naive,1,11,0.022470,1493299154.428126
naive,1,11,0.021763,1541810963.562009
naive,1,11,0.021884,1533286053.737891
naive,1,11,0.021734,1543868224.901077
naive,1,11,0.021782,1540466072.904233
naive,1,11,0.020931,1603097415.316994
naive,1,11,0.021862,1534829018.388071
naive,1,11,0.020728,1618797375.530683
naive,1,11,0.021908,1531606353.843345
naive,1,11,0.021167,1585223791.751311
naive,1,11,0.021763,1541810963.562009
naive,1,11,0.020583,1630201234.028081
naive,1,11,0.022166,1513779301.633132
naive,1,11,0.020547,1633057477.977320
naive,1,11,0.021704,1546002211.573903
naive,1,11,0.020663,1623889657.842520
naive,1,11,0.021854,1535390866.660566
naive,1,11,0.020430,1642409789.525208
naive,1,11,0.021958,1528118772.201476
naive,1,11,0.020446,1641124523.134109
naive,1,11,0.021080,1591766223.908918
naive,1,11,0.023315,1439177868.325113
naive,1,11,0.021467,1563070387.105790
naive,1,11,0.023052,1455597431.893111
naive,1,11,0.021766,1541598456.308003
naive,1,11,0.021936,1529651349.380015
naive,1,11,0.021836,1536656530.500092
naive,1,11,0.021829,1537149296.807000
naive,1,11,0.021743,1543229177.206457
naive,1,11,0.021792,1539759177.679883
naive,1,11,0.021267,1577769878.215075
naive,1,11,0.022514,1490380740.872346
naive,1,11,0.020662,1623968250.895364
naive,1,11,0.023073,1454272613.010879
naive,1,11,0.021088,1591162367.223065
naive,1,11,0.022859,1467887134.170349
naive,1,11,0.020665,1623732494.556013
naive,1,11,0.022421,1496562686.766870
naive,1,11,0.020831,1610793144.832221
naive,1,11,0.022057,1521260008.160675
naive,1,11,0.021472,1562706408.345752
naive,1,11,0.022963,1461239036.711231
naive,1,11,0.020570,1631231502.187652
naive,1,11,0.022498,1491440661.392124
naive,1,11,0.021284,1576509678.631836
naive,1,12,0.099828,1344489802.460232
naive,1,12,0.103362,1298521003.850545
naive,1,12,0.098552,1361897556.619855
naive,1,12,0.098077,1368493408.240464
naive,1,12,0.098799,1358492778.266987
naive,1,12,0.102865,1304794905.944685
naive,1,12,0.098281,1365652852.535078
naive,1,12,0.104493,1284466213.047764
naive,1,12,0.103673,1294625678.817050
naive,1,12,0.097862,1371499948.907645
naive,1,12,0.102660,1307400428.599260
naive,1,12,0.098697,1359896734.449882
naive,1,12,0.102568,1308573122.221355
naive,1,12,0.098852,1357764415.489823
naive,1,12,0.103304,1299250058.081004
naive,1,12,0.099282,1351883805.725106
naive,1,12,0.104199,1288090365.550533
naive,1,12,0.097533,1376126316.221176
naive,1,12,0.104291,1286954080.409623
naive,1,12,0.097656,1374393053.166216
naive,1,12,0.102332,1311590978.384083
naive,1,12,0.099435,1349803670.739679
naive,1,12,0.098159,1367350197.129148
naive,1,12,0.103320,1299048857.917151
naive,1,12,0.098953,1356378563.560478
naive,1,12,0.103834,1292618294.585589
naive,1,12,0.098944,1356501940.491591
naive,1,12,0.099230,1352592240.249924
naive,1,12,0.102810,1305492928.703434
naive,1,12,0.098679,1360144792.711722
naive,1,12,0.105565,1271422611.661062
naive,1,12,0.099565,1348041259.478733
naive,1,12,0.105091,1277157206.611413
naive,1,12,0.098092,1368284141.418260
naive,1,12,0.103344,1298747174.485214
naive,1,12,0.101536,1321873306.019540
naive,1,12,0.098510,1362478205.258349
naive,1,12,0.099244,1352401434.847447
naive,1,12,0.102448,1310105887.865063
naive,1,12,0.099240,1352455945.183394
naive,1,12,0.103016,1302882348.373068
naive,1,12,0.098330,1364972317.705685
naive,1,12,0.103277,1299589724.720896
naive,1,12,0.098551,1361911375.835862
naive,1,12,0.098034,1369093661.382786
naive,1,12,0.098022,1369261267.878639
naive,1,12,0.097675,1374125702.585104
naive,1,12,0.098398,1364029024.980183
naive,1,12,0.102275,1312321955.512100
naive,1,12,0.098505,1362547363.078017
naive,1,13,0.736744,728707545.633219
naive,1,13,0.692091,775723007.523577
naive,1,13,0.662062,810907304.753935
naive,1,13,0.634078,846695378.171140
naive,1,13,0.766389,700520117.068486
naive,1,13,0.771177,696170803.849181
naive,1,13,0.756443,709730821.753919
naive,1,13,0.757398,708835925.101466
naive,1,13,0.679365,790254004.842758
naive,1,13,0.656546,817720178.022561
naive,1,13,0.646369,830595081.137864
naive,1,13,0.632366,848987630.581024
naive,1,13,0.639085,840061825.891705
naive,1,13,0.710609,755508179.603692
naive,1,13,0.766468,700447914.329104
naive,1,13,0.727062,738411458.720164
naive,1,13,0.670084,801199419.774237
naive,1,13,0.784951,683954682.521584
